id,source,reference,prompt_type,model,llm_score,raw_response
0,"München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern",Munich 1856: Four maps that will change your view of the city,few_shot,llama-3.3-70b-versatile,5,5
1,"Eine Irren-Anstalt, wo sich heute Jugendliche begegnen sollen.","A mental asylum, where today young people are said to meet.",few_shot,llama-3.3-70b-versatile,5,5
2,"Eine Gruftkapelle, wo nun für den S-Bahn-Tunnel gegraben wird.","A crypt chapel, where they are now digging tunnels for the S-Bahn.",few_shot,llama-3.3-70b-versatile,5,5
3,Kleingärtner bewirtschaften den einstigen Grund von Bauern.,Allotment holders cultivate the soil of former farmers.,few_shot,llama-3.3-70b-versatile,5,5
4,Die älteste offizielle Karte Münchens fördert spannende Geschichten zu Tage.,The oldest official map of Munich brings captivating stories to light.,few_shot,llama-3.3-70b-versatile,5,5
5,"Es nervt, wenn Landkarten nicht aktuell sind.",It is annoying when geographical maps are not up-to-date.,few_shot,llama-3.3-70b-versatile,5,5
6,"Das kennt jeder, der sich schon mal aufregen musste, weil das Auto-Navi statt einer Umgehungsstraße eine grüne Wiese anzeigte.",Anyone who has ever got worked up because the car's sat-nav is showing a green field instead of a bypass knows that.,few_shot,llama-3.3-70b-versatile,5,5
7,"Die historischen Landkarten des digitalen Bayern-Atlases, ein Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell - doch gerade deshalb sehr aufschlussreich.","The historical maps of the digital BayernAtlas, an offering from the State Government's Geoportal Bayern, are anything but up-to-date – and yet it is precisely for this reason that they are so informative.",few_shot,llama-3.3-70b-versatile,5,5
8,Besonders wenn man sie mit aktuellen Online-Karten vergleicht.,Especially when one compares them with current online maps.,few_shot,llama-3.3-70b-versatile,5,5
9,"Dann wird deutlich, wie sich Städte und Gemeinden im Verbreitungsgebiet des Münchner Merkur seit dem 19. Jahrhundert verändert haben.",Then it becomes clear how the towns and municipalities in the distribution area of Munich's Merkur newspaper have changed since the 19th century.,few_shot,llama-3.3-70b-versatile,5,5
10,"Der digitale Bayern-Atlas ist ein Flickenteppich, den man als solchen nicht gleich erkennt.",The digital BayernAtlas is a patchwork quilt that one doesn't quite recognise for what it is at first.,few_shot,llama-3.3-70b-versatile,5,5
11,"In die große Übersichtskarte wurden für Städte und Gemeinden detailliertere Karten, sogenannte Urpositionsblätter, eingearbeitet.","Within the large overview map, were worked in detailed maps for towns and municipalities, so-called original-lay-of-the-land sheets.",few_shot,llama-3.3-70b-versatile,5,5
12,Diese entstanden nach Angaben der Bayerischen Vermessungsverwaltung zwischen 1810 und 1864 und entspringen der ersten Vermessung Bayerns.,"According to information from the Bavarian Surveying and Mapping Authority, these came into being between 1810 and 1864 and arise out of the first survey of Bavaria.",few_shot,llama-3.3-70b-versatile,5,5
