id,source,hypothesis,reference,bleu,rouge1,rouge2,rougeL,bertscore_f1
0,"München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern",Munich 1856: Four maps that change your view of the city,Munich 1856: Four maps that will change your view of the city,76.7733,0.9565,0.8571,0.9565,0.9948
1,"Eine Irren-Anstalt, wo sich heute Jugendliche begegnen sollen.",It's a lunatic event where young people are supposed to meet today.,"A mental asylum, where today young people are said to meet.",16.2617,0.6667,0.2727,0.5833,0.92
2,"Eine Gruftkapelle, wo nun für den S-Bahn-Tunnel gegraben wird.",A tomb chapel where the S-Bahn tunnel is now dug.,"A crypt chapel, where they are now digging tunnels for the S-Bahn.",7.8051,0.6667,0.2727,0.5,0.9592
3,Kleingärtner bewirtschaften den einstigen Grund von Bauern.,Small gardeners manage the former land of farmers.,Allotment holders cultivate the soil of former farmers.,11.9901,0.5,0.0,0.375,0.9219
4,Die älteste offizielle Karte Münchens fördert spannende Geschichten zu Tage.,The oldest official map of Munich reveals exciting stories.,The oldest official map of Munich brings captivating stories to light.,45.4824,0.7,0.5556,0.7,0.9756
5,"Es nervt, wenn Landkarten nicht aktuell sind.",It's annoying if maps aren't up-to-date.,It is annoying when geographical maps are not up-to-date.,10.1753,0.5714,0.2105,0.5714,0.9782
6,"Das kennt jeder, der sich schon mal aufregen musste, weil das Auto-Navi statt einer Umgehungsstraße eine grüne Wiese anzeigte.","Everyone knows this, who had to get upset, because the Auto-Navi indicated a green meadow instead of a bypass road.",Anyone who has ever got worked up because the car's sat-nav is showing a green field instead of a bypass knows that.,15.0834,0.4444,0.2326,0.4,0.9011
7,"Die historischen Landkarten des digitalen Bayern-Atlases, ein Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell - doch gerade deshalb sehr aufschlussreich.","The historical maps of the digital Bayern atlas, an offer of the geoportal Bavaria of the state government, are far from up-to-date - but this is precisely why very informative.","The historical maps of the digital BayernAtlas, an offering from the State Government's Geoportal Bayern, are anything but up-to-date – and yet it is precisely for this reason that they are so informative.",19.774,0.697,0.3438,0.5455,0.9251
8,Besonders wenn man sie mit aktuellen Online-Karten vergleicht.,Especially if you compare them to current online cards.,Especially when one compares them with current online maps.,10.5527,0.5556,0.25,0.5556,0.9608
9,"Dann wird deutlich, wie sich Städte und Gemeinden im Verbreitungsgebiet des Münchner Merkur seit dem 19. Jahrhundert verändert haben.",Then it becomes clear how cities and communities in the distribution area of Munich Mercury have changed since the 19th century.,Then it becomes clear how the towns and municipalities in the distribution area of Munich's Merkur newspaper have changed since the 19th century.,54.4356,0.8,0.6512,0.8,0.9411
10,"Der digitale Bayern-Atlas ist ein Flickenteppich, den man als solchen nicht gleich erkennt.",The digital Bayern atlas is a patchwork carpet that is not recognized as such.,The digital BayernAtlas is a patchwork quilt that one doesn't quite recognise for what it is at first.,10.5961,0.4242,0.1935,0.4242,0.9119
11,"In die große Übersichtskarte wurden für Städte und Gemeinden detailliertere Karten, sogenannte Urpositionsblätter, eingearbeitet.","More detailed maps, so-called Urposition sheets, were incorporated into the large overview map for cities and municipalities.","Within the large overview map, were worked in detailed maps for towns and municipalities, so-called original-lay-of-the-land sheets.",20.6148,0.65,0.3684,0.35,0.9203
12,Diese entstanden nach Angaben der Bayerischen Vermessungsverwaltung zwischen 1810 und 1864 und entspringen der ersten Vermessung Bayerns.,"According to the Bavarian survey administration, these were created between 1810 and 1864 and originate from the first survey of Bavaria.","According to information from the Bavarian Surveying and Mapping Authority, these came into being between 1810 and 1864 and arise out of the first survey of Bavaria.",34.1332,0.7083,0.5217,0.6667,0.9615
