id,source,hypothesis,reference,prompt_type,model,llm_score,raw_response
0,"München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern",Munich 1856: Four maps that change your view of the city,Munich 1856: Four maps that will change your view of the city,zero_shot,llama-3.1-8b-instant,4,4
1,"Eine Irren-Anstalt, wo sich heute Jugendliche begegnen sollen.",It's a lunatic event where young people are supposed to meet today.,"A mental asylum, where today young people are said to meet.",zero_shot,llama-3.1-8b-instant,3,3
2,"Eine Gruftkapelle, wo nun für den S-Bahn-Tunnel gegraben wird.",A tomb chapel where the S-Bahn tunnel is now dug.,"A crypt chapel, where they are now digging tunnels for the S-Bahn.",zero_shot,llama-3.1-8b-instant,3,3
3,Kleingärtner bewirtschaften den einstigen Grund von Bauern.,Small gardeners manage the former land of farmers.,Allotment holders cultivate the soil of former farmers.,zero_shot,llama-3.1-8b-instant,3,3
4,Die älteste offizielle Karte Münchens fördert spannende Geschichten zu Tage.,The oldest official map of Munich reveals exciting stories.,The oldest official map of Munich brings captivating stories to light.,zero_shot,llama-3.1-8b-instant,4,4
5,"Es nervt, wenn Landkarten nicht aktuell sind.",It's annoying if maps aren't up-to-date.,It is annoying when geographical maps are not up-to-date.,zero_shot,llama-3.1-8b-instant,4,4
6,"Das kennt jeder, der sich schon mal aufregen musste, weil das Auto-Navi statt einer Umgehungsstraße eine grüne Wiese anzeigte.","Everyone knows this, who had to get upset, because the Auto-Navi indicated a green meadow instead of a bypass road.",Anyone who has ever got worked up because the car's sat-nav is showing a green field instead of a bypass knows that.,zero_shot,llama-3.1-8b-instant,3,3
7,"Die historischen Landkarten des digitalen Bayern-Atlases, ein Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell - doch gerade deshalb sehr aufschlussreich.","The historical maps of the digital Bayern atlas, an offer of the geoportal Bavaria of the state government, are far from up-to-date - but this is precisely why very informative.","The historical maps of the digital BayernAtlas, an offering from the State Government's Geoportal Bayern, are anything but up-to-date – and yet it is precisely for this reason that they are so informative.",zero_shot,llama-3.1-8b-instant,4,4
8,Besonders wenn man sie mit aktuellen Online-Karten vergleicht.,Especially if you compare them to current online cards.,Especially when one compares them with current online maps.,zero_shot,llama-3.1-8b-instant,3,3
9,"Dann wird deutlich, wie sich Städte und Gemeinden im Verbreitungsgebiet des Münchner Merkur seit dem 19. Jahrhundert verändert haben.",Then it becomes clear how cities and communities in the distribution area of Munich Mercury have changed since the 19th century.,Then it becomes clear how the towns and municipalities in the distribution area of Munich's Merkur newspaper have changed since the 19th century.,zero_shot,llama-3.1-8b-instant,4,4
